#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,J Balvin,34600000,24983114058,261
2,KAROL G @UCZuPJZ2kGFdlbQu1qotZaHw,27.3M,0.1%,Colombia,,8.2M,KAROL G,38300000,26473886900,162
3,toycantando @UC2xjgvWb9cx5F637XjsUNxw,25.4M,-,Colombia,,7.6M,toycantando,29800000,18434494930,861
4,Anuel AA @UCRI7hheejBbWS6etTNwMT0g,22.2M,1.3%,Colombia,,6.7M,Anuel AA,27400000,18658586497,169
5,Camilo @UCw0aKHSGFGyrnMeVnHeYMyw,15.3M,-,Colombia,,4.6M,Camilo,16600000,8001570272,230
6,Lulu99 @UCCyCcRlr_NRDP-JFAhBxq1g,12.1M,-,Colombia,,3.6M,Lulu99,12900000,2535398726,721
7,MrStiven Tc @UCwq-AEFGSdkSTeqcnBsgSlQ,9.8M,-,Colombia,,2.9M,MrStiven Tc,11800000,1419523093,1783
8,Pautips @UCiLARavvxPYccbXCPNbwGGQ,9M,-,Colombia,,2.7M,Pautips,9140000,1014476955,1212
9,Sofia Castro @UCBdBf2Eh24nM5PJyM2sdFPg,9M,0.5%,Colombia,,2.7M,Sofia Castro,8880000,777085255,233
10,MTZ Manuel Turizo @UC5Jn-9jqrVvKm9Hx0WW8Pgw,8.7M,-,Colombia,,2.6M,Manuel Turizo,9750000,7819858085,270
11,Amara Que Linda @UChq_qmwRxTMgmggitRTiIEA,8.5M,-,Colombia,,2.6M,Amara Que Linda,17900000,1817225469,554
12,Kika Nieto @UC67qfftymkxZk_3aWOklaaA,7.9M,0.2%,Colombia,,2.4M,Kika Nieto ,7790000,770039767,450
13,Calle y PochÃ© @UC-BZEmUUUIXmD1CgkWACVyQ,7.5M,0.01,Colombia,,2.3M,Calle y Poché,7360000,676541701,439
14,Piso 21 @UCEFNzT2RoVqGkV4e3Osyx4A,7.5M,-,Colombia,,2.2M,Piso 21,7730000,8050253965,673
15,8D TUNES @UCrRpYEytIHGyDgNWO6VbHlQ,7.2M,-,Colombia,,2.2M,8D TUNES,7160000,913621145,1380
16,FlexVega @UCzzJ6gx-RPibuPbTCyHy51w,7M,1.5%,Colombia,,2.1M,FlexVega,7310000,970126445,329
17,Paulettee @UCV_64Emay6e8d-pHYGQaWbA,6.9M,0.1%,Colombia,,2.1M,Paulettee,7080000,1063056688,1089
18,Caracol TelevisiÃ³n @UCcpE1fmG2qBZatj28bak2ng,6.9M,-,Colombia,,2.1M,Caracol Televisión,7930000,3739877739,32162
19,Canal RCN @UCSCAJJ1RJ4rfRTVW4gjYTpQ,6.8M,-,Colombia,,2M,Canal RCN,9580000,6592003136,41760
20,Cuentos y Canciones Infantiles @UCfG8Gc1JjarMcPFNLjIuBKw,6.6M,-,Colombia,,2M,Cuentos y Canciones Infantiles,8480000,2857284901,854
21,Fausto Murillo @UCbVNBFaRkgL-6kg92q1fsYw,6.2M,-,Colombia,,1.9M,Fausto Murillo,6770000,926132717,2357
22,Go Ami Go! @UCp4Fk7Xy_wYq8sFKcKNrQCA,6.2M,0.2%,Colombia,,1.9M,Go Ami Go!,20400000,4157606515,413
23,The Voice Kids Colombia @UCpS_1IwmQd_f2AmTSBIqnyw,6M,-,Colombia,,1.8M,La Voz Kids Colombia,6280000,3515732370,2007
24,Carlos Vives @UCcoTDF00osWsjkiO3eC9viw,5.7M,-,Colombia,,1.7M,Carlos Vives,6060000,6210943022,459
25,100%JC @UCKNaHR0S6SES9qgsD3AhR-A,5.6M,-,Colombia,,1.7M,100%JC,5470000,4756383,497
26,SORPRENDENTE @UCqo103ltx_rUXCqJhpoF1Qw,5.4M,0.1%,Colombia,,1.6M,SORPRENDENTE,6890000,2555182719,1495
27,Mundo Canticuentos @UCfasN8yPGTweEGtC_WK7O2Q,5.3M,-,Colombia,,1.6M,Mundo Canticuentos,8030000,3383441251,858
28,Noticias Caracol @UC2Xq2PK-got3Rtz9ZJ32hLQ,5.2M,-,Colombia,,1.6M,Noticias Caracol,6690000,3499441786,113525
29,JeanCarlo LeÃ³n @UC9l8dGTa6UMJfhHFj7ZugLQ,5.1M,-,Colombia,,1.5M,JeanCarlo León,4950000,221410568,320
30,PANDA @UCidiEXdWtuFT6DH3RYiUs3w,4.9M,-,Colombia,,1.5M,PANDA,17200000,2271300597,285
31,julioprofe @UCIkCzk3ezlAxX5r2OFlHLaQ,4.8M,-,Colombia,,1.4M,julioprofe,5000000,707575579,1443
32,Javier Ramirez @UCJufShm_lek_NjinsoRwvnQ,4.8M,-,Colombia,,1.4M,Javier Ramirez,4670000,466219621,197
33,Libardo Isaza @UC0qE-Iq_PEYCYyKJAnBEeHg,4.2M,1.5%,Colombia,,1.3M,Libardo Isaza,5120000,344980557,283
34,Yokoi Kenji Diaz @UCGeCSS6g1D7rv2LppDXcAdg,4M,-,Colombia,,1.2M,Yokoi Kenji Diaz,4840000,395724425,557
35,Nanpa Basico Oficial @UC4Boh-JJrLC60ZiNTaSwAxA,3.7M,-,Colombia,,1.1M,Nanpa Basico Oficial,4040000,2453033336,211
36,Mario Ruiz @UCshS74b7n8wVEREIqrMmlEg,3.6M,0.1%,Colombia,,1.1M,Mario Ruiz,3560000,145947273,126
37,Sophie Giraldo @UCHuXsb-S_iar6HipS_pzEeQ,3.4M,-,Colombia,,1M,Sophie Giraldo,3290000,68356531,64
38,KapitalMusicTv @UCu-qQNeaTJpbWB-NayPsABg,3.3M,0.1%,Colombia,,1M,KapitalMusicTv,3420000,2559837351,142
39,Frank Jr. Navarro @UCP0lDkVPjT3fAxvKNO5oLNg,3.1M,3.1%,Colombia,,933K,Frank Jr. Navarro,3070000,198656656,106
40,Tops Y Misterios @UC3jLoYJEB5oDreCRhkMkPAA,3M,-,Colombia,,903K,Tops Y Misterios,3090000,380957191,954
41,ELpeluca XD @UCcxItMkOHx0c6pgTaRX8Q8g,3M,0.3%,Colombia,,888K,ELpeluca XD,4740000,469130612,1822
42,BrosNacion @UC_jirlXCNqUBaARzja50y8Q,2.8M,0.9%,Colombia,,846K,BrosNacion,2750000,406450464,291
43,Flow Urban @flowurbanmusic,2.8M,-,Colombia,Music,843K,Unknown,0,0,0
44,Juanes @UC5sQe-dDsoobC6TRokL7SMQ,2.8M,-,Colombia,,834K,Juanes,3090000,3186732901,270
45,Consejero Espiritual @UCqIZCncVSY9U77WB3T1vfyA,2.7M,-,Colombia,,819K,Consejero Espiritual,2930000,383618142,301
46,Jonatan Clay @UCR-ZXezvsDLUb-vLv95AQQg,2.7M,-,Colombia,,795K,Jonatan Clay,2630000,492190135,125
47,MdeMatu @UCootdudxV2EbMHOlvtKeDAg,2.6M,-,Colombia,,786K,MdeMatu,2570000,43641468,79
48,Yo creo en Dios @UCVlSHowGJjtQ-38HmV5RuZQ,2.6M,-,Colombia,,765K,Yo creo en Dios,3030000,554698461,931
49,Bianki Place @biankiplace,2.5M,-,Colombia,,762K,Unknown,0,0,0
50,JORPA _17 @UCYGD-6F9QQduxtTrxHf7esQ,2.5M,-,Colombia,,744K,JORPA _17,2450000,310055836,1964
51,Farina @UCMSu01Lf2JW5mx6xFxg_IOA,2.5M,-,Colombia,,744K,FARIANA ,3000000,1006247973,254
52,Universal Camera @UCkY37g7U_rv1Z9cJ9vBBbpg,2.4M,-,Colombia,,732K,Alda Tuiran - universo de cracks,2520000,511370718,1507
53,Yei Palmezano TV @UCNvCQAxMnleyftTuamTvIcw,2.4M,0.1%,Colombia,Celebrity News Pets Sports,717K,Unknown,0,0,0
54,LOS MONTAÃ‘EROS @UCDVLWX3UZcwPeSjL9EPIuCw,2.4M,0.2%,Colombia,,714K,LOS MONTAÑEROS,2880000,1591323363,779
55,In the Hands of the Master @UCLX4YJ6mCkC1RfDrTACgDow,2.4M,-,Colombia,,708K,En las Manos del Maestro,2490000,452333499,3253
56,Telepurte @UCkDtCKtPKlsg-gJO_m5D0mQ,2.3M,8.2%,Colombia,,702K,Telepurte,2590000,1091737851,572
57,Paisa @UCU6d_JGCzyMRfxK9HB9n6xg,2.3M,-,Colombia,,696K,Paisa ,2290000,132748642,559
58,Santimaye @UCZ8143gmMg2TV_FMAGSGfGQ,2.3M,0.3%,Colombia,,696K,Santimaye,2260000,647162,19
59,El Lugar de Su Presencia @UCgdpiakw3lGkW27tSwptAow,2.3M,-,Colombia,,690K,El Lugar de Su Presencia,2600000,788704913,3953
60,Alexy @alexyyt,2.3M,0.4%,Colombia,,684K,Unknown,0,0,0
61,Nicolas Arrieta @UC6JmylROoAz_plJVhAV1w4g,2.3M,0.3%,Colombia,,675K,Nicolas Arrieta,2220000,132705067,248
62,Francisco Ochoa InglÃ©s FÃ¡cil | Pacho8a InglÃ©s @UCTplas1aEhuhBLFYpxr299g,2.2M,-,Colombia,,669K,Francisco Ochoa Inglés Fácil,3440000,244030680,533
63,âœ¨ BOTONET âœ¨ @UCdP03tbrVRJmPwiCZgXVeAw,2.2M,0.4%,Colombia,,666K,✨ BOTONET ✨,2160000,198291946,307
64,Laura Mejia @UCQfVsY9DKzUSQGwJgTMM2og,2.2M,0.1%,Colombia,,657K,Laura Mejia,2490000,337960866,602
65,Dshanto @UCKPzZkDPGHWSwUm95hmodDQ,2.1M,-,Colombia,,639K,DShanto,2180000,350474586,1144
66,BrithOficial @UClVydcoA75jrvi4BqVRhnFw,2.1M,-,Colombia,,627K,Unknown,0,0,0
67,Jonfer y Valentina ceron @UCd65uDJtsvM-ooowCjNljmw,2.1M,-,Colombia,,627K,Jonfer y Valentina ceron,3250000,1322325701,355
68,Isaac Diaz @UC6sPpXd9Vw24v8T_HNUtlug,2.1M,-,Colombia,,627K,Isaac Diaz,2050000,125977985,1383
69,You Ocio @UCubJT8UQhC2ePrM5voleykg,2.1M,-,Colombia,,627K,You Ocio,2060000,243340096,233
70,Revista Semana @UC4oQAvXFuNlKivYjUynQKTA,2.1M,-,Colombia,,624K,RevistaSemana,2960000,1640688911,41676
71,Maqui015 â™¥ @UCoyVkFW7eStCozHQYYD173w,2.1M,-,Colombia,,621K,Maqui015 ♥,2060000,162175259,419
72,Mateo22 HD @UC0Qq02Ork4a7fCi0E5R3MYw,2M,0.9%,Colombia,,615K,Mateo22 HD,2410000,8463312,48
73,Kale Anders @UCnAVhqqs5WWwWoWNmVb0Mjw,2M,0.1%,Colombia,,615K,Kale Anders,3190000,147448720,1968
74,EDWIN DIAZTO @UCn9deHQ_cn2bZ3QGHHxHVnw,2M,-,Colombia,,606K,EDWIN DIAZTO,2100000,1196464995,427
75,LosZens - Free Fire & MÃ¡s @UCI2TwjYc-Nmz-SuAq88jfEg,2M,0.2%,Colombia,,600K,LosZens,1930000,169844070,163
76,Kevin Voltro @UCdL1OBbh-XtlItEEPHZtOlw,2M,0.4%,Colombia,,600K,Kevin Voltro,2260000,994951428,782
77,Amazing Changes @UCOwZvwuHmDUjavwr5hIsT_w,2M,-,Colombia,,594K,Amazing Changes,2440000,859642034,2296
78,Mike Bahia @UC-znDds1f3RWJM3S2VKcI-w,1.9M,0.2%,Colombia,,579K,Mike Bahia,2050000,1438762036,89
79,Jhonny Rivera @UCgHLtBLEJvYqFAvrhublASA,1.9M,5.9%,Colombia,,561K,Jhonny Rivera,2360000,1944669262,378
80,Diomedes DÃ­az Oficial @UCV4Qve3017lpWCR27qfxH5A,1.9M,-,Colombia,,558K,Diomedes Díaz Oficial,3380000,3368133902,554
81,EL TIEMPO @UCe5-b0fCK3eQCpwS6MT0aNw,1.9M,-,Colombia,,555K,EL TIEMPO,2450000,1359358455,59870
82,Mol ASMR. @UC3zdAaknTPGOAKPfymWJn_w,1.8M,0.4%,Colombia,,552K,Mol ASMR.,5300000,1654472877,1490
83,AndrÃ©s Cepeda @UCHkLu9m9qA7uu5jwMefB2dA,1.8M,0.4%,Colombia,,549K,Andrés Cepeda,2030000,1537515571,294
84,Juanpis Gonzalez. @UC49w7S0pbX6HMJeiWibcvsg,1.8M,0.1%,Colombia,,546K,Juanpis González,2400000,419310299,1878
85,SÃ¡bados Felices @UCUYdFqpVRNjYKGIAURLLNUQ,1.8M,-,Colombia,,525K,Sábados Felices,1940000,1121347019,7691
86,Ventino Oficial @UC7FoASLGmVN9ViXVu7mfNZA,1.7M,0.8%,Colombia,,522K,Ventino Oficial,1800000,723477125,93
87,007hernyvideos @UCDeu3uzYVTpYXzESBD7bMaQ,1.7M,-,Colombia,,516K,007hernyvideo,1800000,645663309,3981
88,FUNDACIÃ“N CASA DE ORACIÃ“N DE MARÃA INMACULADA @UC6JiIdLMrE69rafxgdcVGCw,1.7M,-,Colombia,,513K,FUNDACIÓN CASA DE ORACIÓN DE MARÍA INMACULADA,1920000,320804438,1225
89,Tele VID @UCLlfTtqGf-gn0954s5adU0A,1.7M,-,Colombia,,507K,Tele VID,2120000,740150402,22844
90,Roka Stereo @UCQlDMV8xj17H_7WHDg4evng,1.7M,-,Colombia,,507K,Roka Stereo,2800000,508445761,2604
91,ALKILADOS @UCGKy6iXQorX_hbJ-9Oxb2OQ,1.7M,0.3%,Colombia,,507K,ALKILADOS,1760000,953946209,148
92,BLESSD EL BENDITO ðŸ’™ @UCb164jMdHd94O34bASFbI3Q,1.7M,10.3%,Colombia,,504K,BLESSD EL BENDITO 💙,3380000,3535535246,103
93,KIKA en VLOGS âœ¨ @UCBAVtPfnqSKDnH3KYQu8CRw,1.7M,0.4%,Colombia,,501K,El Diario De Kika ,1640000,73220990,225
94,Juanse Laverde @UCSVFbspHhe6L8DMtO5TrIGA,1.6M,-,Colombia,,489K,Juanse Laverde,1670000,151487894,184
95,Dr. Carlos Jaramillo @UCykTiaMobl2EWW28zmjcznQ,1.6M,-,Colombia,,489K,Dr. Carlos Jaramillo,4900000,419295787,621
96,laura sanchez @UCfbYeuNS77u8fXiQwZP9xjQ,1.6M,-,Colombia,,483K,laura sanchez,1580000,124227390,809
97,sofi muÃ±oz @UCHnL5HNtD7V_n0PEEQOIl-g,1.6M,3.4%,Colombia,,483K,sofi muñoz,4060000,727022329,379
98,Nancy Loaiza @UCYDdz6kwB7k8suuBZ9g-rnw,1.6M,-,Colombia,,480K,Nancy Loaiza,1670000,112211208,514
99,Para Mujeres @UCCSZe5KpT6mf_eEy8ZcpYcg,1.6M,-,Colombia,,477K,Para Mujeres,1770000,82561585,185
100,Art & Crafts @UC-PSKRWhdKau5d_inIl7sGA,1.6M,-,Colombia,,474K,Art & Crafts,1780000,262229055,546
